Flag;Absolute Time;Relative Time;Accumulated Distance (km);Speed (km/h);
{;17/05/2016 10:02:19.90;+0h 0mn 0s 00;0.000;0;
12;17/05/2016 10:02:22.18;+0h 0mn 2s 28;0.000;0;
13;17/05/2016 10:02:22.30;+0h 0mn 2s 40;0.000;0;
14;17/05/2016 10:02:22.42;+0h 0mn 2s 52;0.000;0;
15;17/05/2016 10:02:22.46;+0h 0mn 2s 56;0.000;0;
19;17/05/2016 10:02:30.23;+0h 0mn 10s 33;0.000;0;
20;17/05/2016 10:02:31.19;+0h 0mn 11s 29;0.000;0;
25;17/05/2016 10:02:52.36;+0h 0mn 32s 46;0.000;0;
26;17/05/2016 10:02:53.01;+0h 0mn 33s 11;0.000;0;
45;17/05/2016 10:03:00.48;+0h 0mn 40s 58;0.000;0;
50;17/05/2016 10:03:21.18;+0h 1mn 1s 28;0.000;0;
51;17/05/2016 10:03:24.60;+0h 1mn 4s 70;0.000;0;
61;17/05/2016 10:04:21.20;+0h 2mn 1s 30;0.000;0;
62;17/05/2016 10:05:21.22;+0h 3mn 1s 32;0.000;0;
65;17/05/2016 10:06:21.24;+0h 4mn 1s 34;0.000;0;
73;17/05/2016 10:06:39.83;+0h 4mn 19s 93;0.000;0;
74;17/05/2016 10:06:39.90;+0h 4mn 20s 00;0.000;1;
77;17/05/2016 10:06:40.39;+0h 4mn 20s 49;0.000;2;
80;17/05/2016 10:06:40.95;+0h 4mn 21s 05;0.001;3;
84;17/05/2016 10:06:41.72;+0h 4mn 21s 82;0.001;4;
91;17/05/2016 10:06:42.19;+0h 4mn 22s 29;0.002;4;
92;17/05/2016 10:06:42.23;+0h 4mn 22s 33;0.002;4;
95;17/05/2016 10:06:43.36;+0h 4mn 23s 46;0.003;5;
98;17/05/2016 10:06:44.94;+0h 4mn 25s 04;0.006;6;
102;17/05/2016 10:06:45.95;+0h 4mn 26s 05;0.008;7;
105;17/05/2016 10:06:46.46;+0h 4mn 26s 56;0.009;8;
107;17/05/2016 10:06:47.00;+0h 4mn 27s 10;0.010;9;
118;17/05/2016 10:06:52.19;+0h 4mn 32s 29;0.024;9.5;
122;17/05/2016 10:07:01.10;+0h 4mn 41s 20;0.045;8;
135;17/05/2016 10:07:06.92;+0h 4mn 47s 02;0.057;9;
136;17/05/2016 10:07:07.56;+0h 4mn 47s 66;0.059;10;
137;17/05/2016 10:07:08.21;+0h 4mn 48s 31;0.061;11;
147;17/05/2016 10:07:14.08;+0h 4mn 54s 18;0.079;11;
152;17/05/2016 10:07:15.38;+0h 4mn 55s 48;0.083;10;
159;17/05/2016 10:07:16.64;+0h 4mn 56s 74;0.086;9.5;
167;17/05/2016 10:07:19.84;+0h 4mn 59s 94;0.095;9;
169;17/05/2016 10:07:21.27;+0h 5mn 1s 37;0.098;9;
174;17/05/2016 10:07:27.56;+0h 5mn 7s 66;0.113;9;
178;17/05/2016 10:07:28.52;+0h 5mn 8s 62;0.116;8;
180;17/05/2016 10:07:29.59;+0h 5mn 9s 69;0.118;7;
182;17/05/2016 10:07:30.65;+0h 5mn 10s 75;0.120;6;
185;17/05/2016 10:07:31.69;+0h 5mn 11s 79;0.121;5;
187;17/05/2016 10:07:32.69;+0h 5mn 12s 79;0.123;4;
189;17/05/2016 10:07:33.32;+0h 5mn 13s 42;0.123;4;
207;17/05/2016 10:07:45.60;+0h 5mn 25s 70;0.136;3.5;
209;17/05/2016 10:07:46.24;+0h 5mn 26s 34;0.136;3;
212;17/05/2016 10:07:46.75;+0h 5mn 26s 85;0.137;2;
216;17/05/2016 10:07:47.00;+0h 5mn 27s 10;0.137;2;
217;17/05/2016 10:07:47.00;+0h 5mn 27s 10;0.137;2;
219;17/05/2016 10:07:47.04;+0h 5mn 27s 14;0.137;1.5;
220;17/05/2016 10:07:47.27;+0h 5mn 27s 37;0.137;1;
229;17/05/2016 10:07:49.22;+0h 5mn 29s 32;0.137;0;
233;17/05/2016 10:07:58.80;+0h 5mn 38s 90;0.137;0;
234;17/05/2016 10:07:59.08;+0h 5mn 39s 18;0.137;0;
235;17/05/2016 10:07:59.48;+0h 5mn 39s 58;0.137;0;
237;17/05/2016 10:08:14.37;+0h 5mn 54s 47;0.137;0;
238;17/05/2016 10:08:16.21;+0h 5mn 56s 31;0.137;0;
239;17/05/2016 10:08:18.69;+0h 5mn 58s 79;0.137;0;
240;17/05/2016 10:08:21.31;+0h 6mn 1s 41;0.137;0;
241;17/05/2016 10:09:21.34;+0h 7mn 1s 44;0.137;0;
251;17/05/2016 10:10:21.38;+0h 8mn 1s 48;0.137;0;
258;17/05/2016 10:11:21.44;+0h 9mn 1s 54;0.137;0;
275;17/05/2016 10:12:10.45;+0h 9mn 50s 55;0.137;0;
277;17/05/2016 10:12:10.73;+0h 9mn 50s 83;0.137;1;
281;17/05/2016 10:12:11.50;+0h 9mn 51s 60;0.138;2;
285;17/05/2016 10:12:13.06;+0h 9mn 53s 16;0.139;3;
295;17/05/2016 10:12:21.47;+0h 10mn 1s 57;0.145;3;
296;17/05/2016 10:12:22.42;+0h 10mn 2s 52;0.146;3;
302;17/05/2016 10:12:23.46;+0h 10mn 3s 56;0.147;2;
305;17/05/2016 10:12:24.18;+0h 10mn 4s 28;0.147;1;
316;17/05/2016 10:12:26.33;+0h 10mn 6s 43;0.148;0;
332;17/05/2016 10:13:21.51;+0h 11mn 1s 61;0.148;0;
348;17/05/2016 10:14:21.55;+0h 12mn 1s 65;0.148;0;
362;17/05/2016 10:15:03.24;+0h 12mn 43s 34;0.148;0.5;
363;17/05/2016 10:15:03.28;+0h 12mn 43s 38;0.148;1;
365;17/05/2016 10:15:03.74;+0h 12mn 43s 84;0.148;2;
368;17/05/2016 10:15:04.18;+0h 12mn 44s 28;0.148;3;
371;17/05/2016 10:15:04.64;+0h 12mn 44s 74;0.149;4;
374;17/05/2016 10:15:04.97;+0h 12mn 45s 07;0.149;4.5;
375;17/05/2016 10:15:05.00;+0h 12mn 45s 10;0.149;4.5;
376;17/05/2016 10:15:05.05;+0h 12mn 45s 15;0.149;4.5;
377;17/05/2016 10:15:05.16;+0h 12mn 45s 26;0.149;5;
379;17/05/2016 10:15:05.62;+0h 12mn 45s 72;0.150;6;
381;17/05/2016 10:15:06.12;+0h 12mn 46s 22;0.151;7;
384;17/05/2016 10:15:06.66;+0h 12mn 46s 76;0.152;8;
388;17/05/2016 10:15:07.24;+0h 12mn 47s 34;0.153;9;
401;17/05/2016 10:15:13.78;+0h 12mn 53s 88;0.170;10;
403;17/05/2016 10:15:15.27;+0h 12mn 55s 37;0.175;11;
410;17/05/2016 10:15:21.60;+0h 13mn 1s 70;0.195;11.5;
420;17/05/2016 10:15:31.04;+0h 13mn 11s 14;0.224;10;
422;17/05/2016 10:15:37.84;+0h 13mn 17s 94;0.241;9;
426;17/05/2016 10:15:39.78;+0h 13mn 19s 88;0.247;10;
450;17/05/2016 10:15:57.21;+0h 13mn 37s 31;0.296;10.5;
457;17/05/2016 10:15:58.46;+0h 13mn 38s 56;0.300;9;
460;17/05/2016 10:15:58.76;+0h 13mn 38s 86;0.300;8;
463;17/05/2016 10:15:59.14;+0h 13mn 39s 24;0.301;7;
467;17/05/2016 10:15:59.76;+0h 13mn 39s 86;0.302;6;
472;17/05/2016 10:16:00.53;+0h 13mn 40s 63;0.304;6;
483;17/05/2016 10:16:04.41;+0h 13mn 44s 51;0.310;7;
485;17/05/2016 10:16:06.22;+0h 13mn 46s 32;0.314;8;
491;17/05/2016 10:16:14.38;+0h 13mn 54s 48;0.332;8;
496;17/05/2016 10:16:15.41;+0h 13mn 55s 51;0.334;7;
498;17/05/2016 10:16:15.72;+0h 13mn 55s 82;0.335;6;
501;17/05/2016 10:16:15.96;+0h 13mn 56s 06;0.335;5;
503;17/05/2016 10:16:16.18;+0h 13mn 56s 28;0.336;4;
504;17/05/2016 10:16:16.36;+0h 13mn 56s 46;0.336;3;
506;17/05/2016 10:16:16.62;+0h 13mn 56s 72;0.336;2;
511;17/05/2016 10:16:16.86;+0h 13mn 56s 96;0.336;1.5;
512;17/05/2016 10:16:16.90;+0h 13mn 57s 00;0.336;1.5;
513;17/05/2016 10:16:16.90;+0h 13mn 57s 00;0.336;1.5;
527;17/05/2016 10:16:18.78;+0h 13mn 58s 88;0.337;1;
528;17/05/2016 10:16:18.84;+0h 13mn 58s 94;0.337;0;
529;17/05/2016 10:16:21.61;+0h 14mn 1s 71;0.337;0;
535;17/05/2016 10:16:25.78;+0h 14mn 5s 88;0.337;0;
548;17/05/2016 10:16:32.26;+0h 14mn 12s 36;0.337;0;
549;17/05/2016 10:16:33.14;+0h 14mn 13s 24;0.337;0;
550;17/05/2016 10:16:33.14;+0h 14mn 13s 24;0.337;0;
551;17/05/2016 10:16:33.18;+0h 14mn 13s 28;0.337;0;
552;17/05/2016 10:16:33.18;+0h 14mn 13s 28;0.337;0;
553;17/05/2016 10:16:33.22;+0h 14mn 13s 32;0.337;0;
554;17/05/2016 10:16:33.22;+0h 14mn 13s 32;0.337;0;
555;17/05/2016 10:16:33.34;+0h 14mn 13s 44;0.337;0;
556;17/05/2016 10:16:33.38;+0h 14mn 13s 48;0.337;0;
562;17/05/2016 10:17:21.64;+0h 15mn 1s 74;0.337;0;
564;17/05/2016 10:17:28.51;+0h 15mn 8s 61;0.337;0;
565;17/05/2016 10:17:28.52;+0h 15mn 8s 62;0.337;0;
566;17/05/2016 10:17:28.55;+0h 15mn 8s 65;0.337;0;
567;17/05/2016 10:17:28.55;+0h 15mn 8s 65;0.337;0;
568;17/05/2016 10:17:28.55;+0h 15mn 8s 65;0.337;0;
569;17/05/2016 10:17:28.56;+0h 15mn 8s 66;0.337;0;
574;17/05/2016 10:17:29.71;+0h 15mn 9s 81;0.337;0;
575;17/05/2016 10:17:29.72;+0h 15mn 9s 82;0.337;0;
577;17/05/2016 10:17:29.96;+0h 15mn 10s 06;0.337;0;
599;17/05/2016 10:18:21.68;+0h 16mn 1s 78;0.337;0;
603;17/05/2016 10:18:29.20;+0h 16mn 9s 30;0.337;0;
604;17/05/2016 10:18:31.08;+0h 16mn 11s 18;0.337;0;
615;17/05/2016 10:19:18.09;+0h 16mn 58s 19;0.337;0;
617;17/05/2016 10:19:18.77;+0h 16mn 58s 87;0.337;0;
620;17/05/2016 10:19:19.97;+0h 17mn 0s 07;0.337;0;
621;17/05/2016 10:19:19.97;+0h 17mn 0s 07;0.337;0;
622;17/05/2016 10:19:20.01;+0h 17mn 0s 11;0.337;0;
623;17/05/2016 10:19:20.05;+0h 17mn 0s 15;0.337;0;
624;17/05/2016 10:19:20.05;+0h 17mn 0s 15;0.337;0;
625;17/05/2016 10:19:20.21;+0h 17mn 0s 31;0.337;0;
626;17/05/2016 10:19:20.21;+0h 17mn 0s 31;0.337;0;
631;17/05/2016 10:19:21.73;+0h 17mn 1s 83;0.337;0;
633;17/05/2016 10:19:30.53;+0h 17mn 10s 63;0.337;0;
634;17/05/2016 10:19:30.53;+0h 17mn 10s 63;0.337;0;
635;17/05/2016 10:19:30.57;+0h 17mn 10s 67;0.337;0;
636;17/05/2016 10:19:30.57;+0h 17mn 10s 67;0.337;0;
637;17/05/2016 10:19:30.61;+0h 17mn 10s 71;0.337;0;
642;17/05/2016 10:19:31.97;+0h 17mn 12s 07;0.337;0;
643;17/05/2016 10:19:32.01;+0h 17mn 12s 11;0.337;0;
661;17/05/2016 10:20:14.10;+0h 17mn 54s 20;0.337;0;
664;17/05/2016 10:20:14.62;+0h 17mn 54s 72;0.337;0.5;
678;17/05/2016 10:20:19.38;+0h 17mn 59s 48;0.337;0;
681;17/05/2016 10:20:19.73;+0h 17mn 59s 83;0.337;1;
684;17/05/2016 10:20:20.30;+0h 18mn 0s 40;0.338;2;
687;17/05/2016 10:20:20.93;+0h 18mn 1s 03;0.338;3;
688;17/05/2016 10:20:21.55;+0h 18mn 1s 65;0.339;4;
689;17/05/2016 10:20:21.74;+0h 18mn 1s 84;0.339;4;
692;17/05/2016 10:20:21.90;+0h 18mn 2s 00;0.339;4.5;
694;17/05/2016 10:20:21.98;+0h 18mn 2s 08;0.339;4.5;
696;17/05/2016 10:20:22.19;+0h 18mn 2s 29;0.340;5;
702;17/05/2016 10:20:22.88;+0h 18mn 2s 98;0.341;6;
706;17/05/2016 10:20:24.41;+0h 18mn 4s 51;0.343;7;
709;17/05/2016 10:20:26.10;+0h 18mn 6s 20;0.347;8;
710;17/05/2016 10:20:27.89;+0h 18mn 7s 99;0.351;9;
715;17/05/2016 10:20:29.72;+0h 18mn 9s 82;0.356;10;
723;17/05/2016 10:20:33.12;+0h 18mn 13s 22;0.366;11;
727;17/05/2016 10:20:34.10;+0h 18mn 14s 20;0.369;12;
729;17/05/2016 10:20:35.13;+0h 18mn 15s 23;0.372;13;
732;17/05/2016 10:20:36.10;+0h 18mn 16s 20;0.376;14;
746;17/05/2016 10:20:57.44;+0h 18mn 37s 54;0.458;13;
772;17/05/2016 10:21:21.75;+0h 19mn 1s 85;0.545;13;
783;17/05/2016 10:21:31.13;+0h 19mn 11s 23;0.578;12;
790;17/05/2016 10:21:34.00;+0h 19mn 14s 10;0.587;13;
791;17/05/2016 10:21:34.39;+0h 19mn 14s 49;0.589;14;
792;17/05/2016 10:21:34.78;+0h 19mn 14s 88;0.590;15;
794;17/05/2016 10:21:35.23;+0h 19mn 15s 33;0.592;16;
796;17/05/2016 10:21:35.56;+0h 19mn 15s 66;0.594;17;
800;17/05/2016 10:21:36.02;+0h 19mn 16s 12;0.596;18;
811;17/05/2016 10:21:39.76;+0h 19mn 19s 86;0.615;19;
814;17/05/2016 10:21:40.15;+0h 19mn 20s 25;0.617;20;
817;17/05/2016 10:21:40.54;+0h 19mn 20s 64;0.619;21;
818;17/05/2016 10:21:40.93;+0h 19mn 21s 03;0.622;22;
819;17/05/2016 10:21:41.31;+0h 19mn 21s 41;0.624;23;
821;17/05/2016 10:21:41.70;+0h 19mn 21s 80;0.627;24;
824;17/05/2016 10:21:42.04;+0h 19mn 22s 14;0.629;25;
825;17/05/2016 10:21:42.41;+0h 19mn 22s 51;0.631;26;
826;17/05/2016 10:21:42.78;+0h 19mn 22s 88;0.634;27;
829;17/05/2016 10:21:43.17;+0h 19mn 23s 27;0.637;28;
842;17/05/2016 10:21:45.67;+0h 19mn 25s 77;0.657;28.5;
845;17/05/2016 10:21:45.91;+0h 19mn 26s 01;0.659;28;
848;17/05/2016 10:21:46.37;+0h 19mn 26s 47;0.662;27;
852;17/05/2016 10:21:46.90;+0h 19mn 27s 00;0.666;26;
855;17/05/2016 10:21:47.53;+0h 19mn 27s 63;0.671;25;
860;17/05/2016 10:21:48.18;+0h 19mn 28s 28;0.675;24;
870;17/05/2016 10:21:52.52;+0h 19mn 32s 62;0.703;23;
882;17/05/2016 10:21:59.58;+0h 19mn 39s 68;0.748;24;
889;17/05/2016 10:22:02.94;+0h 19mn 43s 04;0.771;25;
891;17/05/2016 10:22:03.64;+0h 19mn 43s 74;0.776;26;
893;17/05/2016 10:22:04.24;+0h 19mn 44s 34;0.781;27;
895;17/05/2016 10:22:05.01;+0h 19mn 45s 11;0.786;28;
906;17/05/2016 10:22:09.58;+0h 19mn 49s 68;0.822;29;
915;17/05/2016 10:22:11.50;+0h 19mn 51s 60;0.837;28;
916;17/05/2016 10:22:12.20;+0h 19mn 52s 30;0.843;27;
918;17/05/2016 10:22:12.90;+0h 19mn 53s 00;0.848;26;
919;17/05/2016 10:22:13.46;+0h 19mn 53s 56;0.852;25;
936;17/05/2016 10:22:19.50;+0h 19mn 59s 60;0.894;26;
944;17/05/2016 10:22:21.43;+0h 20mn 1s 53;0.908;25;
945;17/05/2016 10:22:21.76;+0h 20mn 1s 86;0.910;25;
950;17/05/2016 10:22:22.50;+0h 20mn 2s 60;0.915;24;
953;17/05/2016 10:22:23.02;+0h 20mn 3s 12;0.918;23;
955;17/05/2016 10:22:23.54;+0h 20mn 3s 64;0.922;22;
969;17/05/2016 10:22:28.84;+0h 20mn 8s 94;0.954;23;
971;17/05/2016 10:22:30.95;+0h 20mn 11s 05;0.968;24;
973;17/05/2016 10:22:33.08;+0h 20mn 13s 18;0.982;25;
975;17/05/2016 10:22:35.15;+0h 20mn 15s 25;0.997;26;
976;17/05/2016 10:22:35.59;+0h 20mn 15s 69;1.000;26;
978;17/05/2016 10:22:37.22;+0h 20mn 17s 32;1.012;27;
985;17/05/2016 10:22:38.68;+0h 20mn 18s 78;1.023;26;
986;17/05/2016 10:22:39.20;+0h 20mn 19s 30;1.027;25;
988;17/05/2016 10:22:39.76;+0h 20mn 19s 86;1.030;24;
990;17/05/2016 10:22:40.34;+0h 20mn 20s 44;1.034;23;
992;17/05/2016 10:22:40.91;+0h 20mn 21s 01;1.038;22;
993;17/05/2016 10:22:41.56;+0h 20mn 21s 66;1.042;21;
996;17/05/2016 10:22:42.28;+0h 20mn 22s 38;1.046;20;
1001;17/05/2016 10:22:43.05;+0h 20mn 23s 15;1.050;19;
1008;17/05/2016 10:22:43.83;+0h 20mn 23s 93;1.054;20;
1010;17/05/2016 10:22:44.34;+0h 20mn 24s 44;1.057;21;
1012;17/05/2016 10:22:44.86;+0h 20mn 24s 96;1.060;22;
1013;17/05/2016 10:22:45.31;+0h 20mn 25s 41;1.063;23;
1014;17/05/2016 10:22:45.77;+0h 20mn 25s 87;1.066;24;
1016;17/05/2016 10:22:46.20;+0h 20mn 26s 30;1.069;25;
1018;17/05/2016 10:22:46.68;+0h 20mn 26s 78;1.072;26;
1019;17/05/2016 10:22:47.07;+0h 20mn 27s 17;1.075;27;
1022;17/05/2016 10:22:47.49;+0h 20mn 27s 59;1.078;28;
1024;17/05/2016 10:22:47.90;+0h 20mn 28s 00;1.082;29;
1027;17/05/2016 10:22:48.36;+0h 20mn 28s 46;1.085;30;
1030;17/05/2016 10:22:48.75;+0h 20mn 28s 85;1.089;31;
1032;17/05/2016 10:22:49.19;+0h 20mn 29s 29;1.093;32;
1035;17/05/2016 10:22:49.69;+0h 20mn 29s 79;1.097;33;
1038;17/05/2016 10:22:50.25;+0h 20mn 30s 35;1.102;34;
1041;17/05/2016 10:22:50.82;+0h 20mn 30s 92;1.108;35;
1061;17/05/2016 10:22:54.51;+0h 20mn 34s 61;1.144;36;
1064;17/05/2016 10:22:55.76;+0h 20mn 35s 86;1.157;37;
1071;17/05/2016 10:22:57.08;+0h 20mn 37s 18;1.170;38;
1083;17/05/2016 10:22:59.62;+0h 20mn 39s 72;1.198;39;
1089;17/05/2016 10:23:00.34;+0h 20mn 40s 44;1.206;40;
1092;17/05/2016 10:23:00.79;+0h 20mn 40s 89;1.211;41;
1096;17/05/2016 10:23:01.20;+0h 20mn 41s 30;1.215;42;
1099;17/05/2016 10:23:01.60;+0h 20mn 41s 70;1.220;43;
1100;17/05/2016 10:23:02.02;+0h 20mn 42s 12;1.225;44;
1101;17/05/2016 10:23:02.42;+0h 20mn 42s 52;1.230;45;
1103;17/05/2016 10:23:02.86;+0h 20mn 42s 96;1.236;46;
1107;17/05/2016 10:23:03.26;+0h 20mn 43s 36;1.241;47;
1108;17/05/2016 10:23:03.72;+0h 20mn 43s 82;1.247;48;
1109;17/05/2016 10:23:04.16;+0h 20mn 44s 26;1.253;49;
1111;17/05/2016 10:23:04.67;+0h 20mn 44s 77;1.260;50;
1113;17/05/2016 10:23:05.12;+0h 20mn 45s 22;1.266;51;
1115;17/05/2016 10:23:05.64;+0h 20mn 45s 74;1.274;52;
1118;17/05/2016 10:23:06.14;+0h 20mn 46s 24;1.281;53;
1132;17/05/2016 10:23:09.48;+0h 20mn 49s 58;1.330;52;
1141;17/05/2016 10:23:13.34;+0h 20mn 53s 44;1.386;53;
1145;17/05/2016 10:23:14.54;+0h 20mn 54s 64;1.404;54;
1150;17/05/2016 10:23:15.98;+0h 20mn 56s 08;1.425;55;
1158;17/05/2016 10:23:17.66;+0h 20mn 57s 76;1.451;54;
1162;17/05/2016 10:23:19.16;+0h 20mn 59s 26;1.473;53;
1171;17/05/2016 10:23:20.84;+0h 21mn 0s 94;1.498;54;
1174;17/05/2016 10:23:21.77;+0h 21mn 1s 87;1.512;54.5;
1175;17/05/2016 10:23:22.00;+0h 21mn 2s 10;1.516;55;
1179;17/05/2016 10:23:23.17;+0h 21mn 3s 27;1.533;56;
1183;17/05/2016 10:23:24.47;+0h 21mn 4s 57;1.554;57;
1195;17/05/2016 10:23:27.19;+0h 21mn 7s 29;1.597;56;
1200;17/05/2016 10:23:28.64;+0h 21mn 8s 74;1.619;55;
1202;17/05/2016 10:23:30.09;+0h 21mn 10s 19;1.641;54;
1205;17/05/2016 10:23:31.65;+0h 21mn 11s 75;1.664;53;
1209;17/05/2016 10:23:33.15;+0h 21mn 13s 25;1.686;52;
1213;17/05/2016 10:23:34.70;+0h 21mn 14s 80;1.708;51;
1217;17/05/2016 10:23:36.25;+0h 21mn 16s 35;1.730;50;
1223;17/05/2016 10:23:37.81;+0h 21mn 17s 91;1.752;49;
1226;17/05/2016 10:23:39.36;+0h 21mn 19s 46;1.772;48;
1229;17/05/2016 10:23:40.78;+0h 21mn 20s 88;1.791;47;
1240;17/05/2016 10:23:42.47;+0h 21mn 22s 57;1.813;48;
1244;17/05/2016 10:23:42.99;+0h 21mn 23s 09;1.820;49;
1247;17/05/2016 10:23:43.50;+0h 21mn 23s 60;1.827;50;
1248;17/05/2016 10:23:43.95;+0h 21mn 24s 05;1.834;51;
1251;17/05/2016 10:23:44.46;+0h 21mn 24s 56;1.841;52;
1254;17/05/2016 10:23:44.96;+0h 21mn 25s 06;1.848;53;
1256;17/05/2016 10:23:45.49;+0h 21mn 25s 59;1.856;54;
1259;17/05/2016 10:23:46.00;+0h 21mn 26s 10;1.864;55;
1261;17/05/2016 10:23:46.52;+0h 21mn 26s 62;1.872;56;
1265;17/05/2016 10:23:47.05;+0h 21mn 27s 15;1.880;57;
1267;17/05/2016 10:23:47.64;+0h 21mn 27s 74;1.890;58;
1268;17/05/2016 10:23:48.16;+0h 21mn 28s 26;1.898;59;
1270;17/05/2016 10:23:48.75;+0h 21mn 28s 85;1.908;60;
1272;17/05/2016 10:23:49.39;+0h 21mn 29s 49;1.919;61;
1275;17/05/2016 10:23:49.98;+0h 21mn 30s 08;1.929;62;
1277;17/05/2016 10:23:50.68;+0h 21mn 30s 78;1.941;63;
1280;17/05/2016 10:23:51.39;+0h 21mn 31s 49;1.953;64;
1290;17/05/2016 10:23:53.90;+0h 21mn 34s 00;1.998;63;
1291;17/05/2016 10:23:54.03;+0h 21mn 34s 13;2.000;63;
1298;17/05/2016 10:23:55.84;+0h 21mn 35s 94;2.032;62;
1299;17/05/2016 10:23:55.97;+0h 21mn 36s 07;2.034;62;
1302;17/05/2016 10:23:56.25;+0h 21mn 36s 35;2.039;61.5;
1303;17/05/2016 10:23:56.40;+0h 21mn 36s 50;2.041;61;
1308;17/05/2016 10:23:56.98;+0h 21mn 37s 08;2.051;60;
1313;17/05/2016 10:23:57.62;+0h 21mn 37s 72;2.061;59;
1319;17/05/2016 10:23:58.28;+0h 21mn 38s 38;2.072;58;
1326;17/05/2016 10:23:59.29;+0h 21mn 39s 39;2.088;57;
1335;17/05/2016 10:24:01.17;+0h 21mn 41s 27;2.118;57;
1337;17/05/2016 10:24:01.45;+0h 21mn 41s 55;2.122;56.5;
1338;17/05/2016 10:24:01.54;+0h 21mn 41s 64;2.124;56;
1342;17/05/2016 10:24:02.20;+0h 21mn 42s 30;2.134;55;
1343;17/05/2016 10:24:02.34;+0h 21mn 42s 44;2.136;55;
1346;17/05/2016 10:24:02.66;+0h 21mn 42s 76;2.141;54;
1350;17/05/2016 10:24:02.98;+0h 21mn 43s 08;2.146;53;
1351;17/05/2016 10:24:03.05;+0h 21mn 43s 15;2.147;53;
1354;17/05/2016 10:24:03.31;+0h 21mn 43s 41;2.150;52;
1355;17/05/2016 10:24:03.46;+0h 21mn 43s 56;2.153;51;
1356;17/05/2016 10:24:03.54;+0h 21mn 43s 64;2.153;51;
1358;17/05/2016 10:24:03.69;+0h 21mn 43s 79;2.156;50;
1360;17/05/2016 10:24:03.88;+0h 21mn 43s 98;2.159;49;
1363;17/05/2016 10:24:04.08;+0h 21mn 44s 18;2.161;48;
1366;17/05/2016 10:24:04.28;+0h 21mn 44s 38;2.164;47;
1367;17/05/2016 10:24:04.48;+0h 21mn 44s 58;2.166;46;
1369;17/05/2016 10:24:04.73;+0h 21mn 44s 83;2.169;45;
1370;17/05/2016 10:24:04.90;+0h 21mn 45s 00;2.172;44;
1373;17/05/2016 10:24:05.18;+0h 21mn 45s 28;2.175;43;
1378;17/05/2016 10:24:05.66;+0h 21mn 45s 76;2.181;42;
1379;17/05/2016 10:24:05.69;+0h 21mn 45s 79;2.181;42;
1384;17/05/2016 10:24:06.15;+0h 21mn 46s 25;2.186;41;
1388;17/05/2016 10:24:06.68;+0h 21mn 46s 78;2.192;40;
1410;17/05/2016 10:24:21.10;+0h 22mn 1s 20;2.354;40.5;
1412;17/05/2016 10:24:21.42;+0h 22mn 1s 52;2.357;40.5;
1416;17/05/2016 10:24:21.81;+0h 22mn 1s 91;2.362;40;
1418;17/05/2016 10:24:22.08;+0h 22mn 2s 18;2.365;39;
1422;17/05/2016 10:24:22.72;+0h 22mn 2s 82;2.371;38;
1428;17/05/2016 10:24:23.28;+0h 22mn 3s 38;2.377;37;
1431;17/05/2016 10:24:23.58;+0h 22mn 3s 68;2.380;36.5;
1432;17/05/2016 10:24:23.66;+0h 22mn 3s 76;2.381;36;
1434;17/05/2016 10:24:23.86;+0h 22mn 3s 96;2.383;36;
1436;17/05/2016 10:24:24.04;+0h 22mn 4s 14;2.385;35;
1439;17/05/2016 10:24:24.42;+0h 22mn 4s 52;2.389;34;
1442;17/05/2016 10:24:24.78;+0h 22mn 4s 88;2.392;33;
1447;17/05/2016 10:24:25.17;+0h 22mn 5s 27;2.395;32;
1450;17/05/2016 10:24:25.56;+0h 22mn 5s 66;2.399;31;
1454;17/05/2016 10:24:26.08;+0h 22mn 6s 18;2.403;30;
1471;17/05/2016 10:24:30.86;+0h 22mn 10s 96;2.442;30;
1476;17/05/2016 10:24:31.62;+0h 22mn 11s 72;2.449;29.5;
1477;17/05/2016 10:24:31.65;+0h 22mn 11s 75;2.449;29;
1479;17/05/2016 10:24:31.90;+0h 22mn 12s 00;2.451;28;
1481;17/05/2016 10:24:32.10;+0h 22mn 12s 20;2.453;27;
1483;17/05/2016 10:24:32.32;+0h 22mn 12s 42;2.454;26;
1484;17/05/2016 10:24:32.56;+0h 22mn 12s 66;2.456;25;
1487;17/05/2016 10:24:32.72;+0h 22mn 12s 82;2.457;24;
1488;17/05/2016 10:24:32.74;+0h 22mn 12s 84;2.457;24;
1489;17/05/2016 10:24:32.94;+0h 22mn 13s 04;2.459;23;
1490;17/05/2016 10:24:33.13;+0h 22mn 13s 23;2.460;22;
1492;17/05/2016 10:24:33.33;+0h 22mn 13s 43;2.461;21;
1494;17/05/2016 10:24:33.53;+0h 22mn 13s 63;2.462;20;
1496;17/05/2016 10:24:33.74;+0h 22mn 13s 84;2.463;19;
1497;17/05/2016 10:24:33.98;+0h 22mn 14s 08;2.465;18;
1500;17/05/2016 10:24:34.15;+0h 22mn 14s 25;2.465;17;
1503;17/05/2016 10:24:34.41;+0h 22mn 14s 51;2.467;16;
1507;17/05/2016 10:24:34.75;+0h 22mn 14s 85;2.468;15;
1510;17/05/2016 10:24:35.02;+0h 22mn 15s 12;2.469;14;
1513;17/05/2016 10:24:35.39;+0h 22mn 15s 49;2.471;13;
1518;17/05/2016 10:24:35.71;+0h 22mn 15s 81;2.472;12;
1524;17/05/2016 10:24:36.46;+0h 22mn 16s 56;2.474;12;
1536;17/05/2016 10:24:41.01;+0h 22mn 21s 11;2.489;13;
